,Cuestionario:Tema 1 - Parte Básica (Real),Cuestionario:Tema 2 - Parte Básica (Real),Cuestionario:Tema 3 - Parte Básica (Real),Cuestionario:Tema 1 - Parte Avanzada (Real),Cuestionario:Tema 2 - Parte Avanzada (Real),Cuestionario:Tema 3 - Parte Avanzada (Real),comision
429,2.0,1.0,0.83,1.5,-,-,datos_anonimizados
430,-,-,-,-,-,-,datos_anonimizados
431,0.0,0.0,0.0,-,-,-,datos_anonimizados
432,-,-,-,-,-,-,datos_anonimizados
433,3.0,3.0,2.0,2.75,3.25,4.0,datos_anonimizados
434,-,-,-,-,-,-,datos_anonimizados
435,0.0,1.0,2.0,-,-,0.0,datos_anonimizados
436,1.0,3.0,2.0,-,2.0,1.0,datos_anonimizados
437,-,-,-,-,-,-,datos_anonimizados
438,1.0,0.6,1.0,-,-,-,datos_anonimizados
439,-,-,-,-,-,-,datos_anonimizados
440,3.0,3.0,2.0,4.0,1.0,4.0,datos_anonimizados
